,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
10,12.22 K,225.20,227.85,225.80,22.04 K,"158,053","143,157","142,846","200,155",225.10,228.35,227.15,"478,242","1,187,316","1,311,959","1,396,035",86%,,,,Adani Transmission Ltd.,POWER - TRANSMISSION & EQUIPMENT
11,16.24 K,168.05,167.15,166.00,13.31 K,"87,422","68,216","160,854","71,810",168.00,167.50,165.90,"89,379","539,424","754,721","616,278",100%,,,,Aditya Birla Fashion & Retail Ltd.,RETAIL
12,11.42 K,292.00,289.80,285.70,13.44 K,"33,050","67,974","66,597","45,934",290.40,289.70,286.25,"67,443","450,418","424,373","283,776",100%,,,,Advanced Enzyme Technologies Ltd.,PHARMACEUTICALS
13,20.68 K,286.15,289.50,283.35,9820,"8,298","30,849","42,004","34,633",289.80,289.80,284.00,"38,601","172,976","240,896","187,782",100%,,,,Aegis Logistics Ltd.,TRANSPORT & LOGISTICS
14,6278,1606.50,1587.55,1585.85,3888,"2,395","2,181","19,695","2,459",1605.00,1599.80,1589.05,"4,460","28,176","44,056","29,423",100%,,,,AIA Engineering Ltd.,CASTINGS & FORGINGS
15,26.69 K,1569.65,1557.25,1575.45,25.89 K,"12,419","17,442","21,308","21,464",1561.00,1560.05,1575.35,"113,330","176,373","284,746","239,362",89%,,,11%,Ajanta Pharma Ltd.,PHARMACEUTICALS
16,5199,1884.00,1882.45,1870.00,3856,282,"1,491","2,619",980,1887.10,1877.20,1874.95,"1,624","25,205","15,891","18,712",100%,,,,Akzo Nobel India Ltd.,PAINTS & VARNISHES
17,10.63 K,553.00,544.90,549.10,8085,927,"8,053","5,453","5,913",550.00,547.05,551.00,"17,471","63,071","51,884","36,265",67%,,,,Alembic Pharmaceuticals Ltd.,PHARMACEUTICALS
18,2008,2255.00,2208.75,2237.15,1180,"2,701","3,668","13,502","1,903",2279.90,2218.95,2235.55,"32,989","44,084","40,050","17,084",100%,,,,Alkem Laboratories Ltd.,PHARMACEUTICALS
19,5.3 L,70.50,70.80,70.10,5.06 L,"144,938","218,493","191,442","308,512",70.25,70.80,70.25,"1,047,075","2,115,437","2,139,768","2,598,878",40%,40%,40% buying,20%,Allahabad Bank,BANKS - PUBLIC SECTOR
20,36.94 K,195.15,194.05,201.25,23.35 K,"69,980","161,202","168,895","142,882",196.60,194.35,201.40,"448,201","902,199","1,030,422","736,075",94%,,,6%,Allcargo Logistics Ltd.,TRANSPORT & LOGISTICS
21,45.67 K,838.95,824.50,829.05,45.68 K,"9,080","27,251","28,687","28,691",825.40,825.00,828.95,"238,955","408,884","528,226","382,596",89%,,,11%,Amara Raja Batteries Ltd.,AUTO ANCILLARIES
22,2.47 L,275.00,268.50,267.05,2.59 L,"32,428","108,405","81,292","117,510",269.00,268.60,266.55,"925,109","2,219,194","1,847,540","2,161,852",62%,,,38%,Ambuja Cements Ltd.,CEMENT - MAJOR
23,5.33 L,56.30,56.40,55.90,5.17 L,"107,935","168,554","158,769","181,604",56.35,56.50,56.00,"849,060","2,040,402","2,064,367","2,165,348",90%,,,10%,Andhra Bank,BANKS - PUBLIC SECTOR
24,7830,829.30,826.65,826.70,6792,349,"2,225","7,326","2,636",830.00,827.70,826.65,"6,394","19,593","34,722","16,270",100%,,,100%,Apar Industries Ltd.,ELECTRIC EQUIPMENT
25,4560,2520.00,2514.90,2518.20,2179,"4,730","6,432","10,896","5,862",2485.00,2500.65,2511.10,"13,159","128,808","77,618","113,626",67%,,,,APL Apollo Tubes Ltd.,STEEL - TUBES & PIPES
26,37.11 K,1144.00,1138.05,1155.05,32.18 K,"4,082","7,140","20,931","7,270",1148.00,1139.40,1158.15,"160,193","203,379","307,607","175,332",50%,,,50%,Apollo Hospitals Enterprises Ltd.,HOSPITALS & MEDICAL SERVICES
27,1.65 L,264.00,264.85,259.40,1.77 L,"35,769","156,083","177,061","90,740",265.90,264.80,259.35,"904,084","2,585,979","2,834,544","2,300,081",78%,,,22%,Apollo Tyres Ltd.,TYRES
28,1.2 L,448.50,448.35,445.00,1.26 L,"37,945","296,008","252,937","129,067",451.65,449.45,446.05,"486,231","2,003,404","1,784,459","1,154,777",70%,,,30%,Arvind Ltd.,TEXTILES - DENIM
29,7208,361.50,369.70,367.95,11.51 K,"34,838","59,306","23,844","23,322",371.95,369.45,367.90,"26,834","113,543","59,913","60,676",,,,,Asahi India Glass Ltd.,GLASS & GLASS PRODUCTS
30,4.38 L,121.20,121.10,120.30,4.6 L,"373,435","938,492","911,571","887,186",121.65,121.05,120.25,"4,833,376","10,887,783","11,389,634","10,374,310",83%,1%,83% buying,16%,Ashok Leyland Ltd.,AUTO - LCVS & HCVS
31,15.86 K,228.00,228.30,229.80,5811,"4,613","10,991","17,003","13,524",227.05,227.80,230.25,"597,113","238,056","208,236","335,769",50%,,,50%,Ashoka Buildcon Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
32,37.83 K,1195.00,1193.40,1178.15,41.13 K,"50,667","58,612","68,840","39,038",1192.00,1189.90,1177.55,"623,039","660,838","659,890","602,238",80%,5%,80% buying,15%,Asian Paints Ltd.,PAINTS & VARNISHES
33,36.27 K,116.20,116.20,117.30,57.9 K,"65,416","153,351","102,059","234,722",117.50,116.55,117.25,"252,984","837,932","476,647","1,154,787",100%,,,,Astra Microwave Products Ltd.,TELECOMMUNICATIONS - EQUIPMENT
34,8893,850.00,836.70,847.85,6017,741,"6,918","3,920","6,982",835.00,837.50,848.90,"9,150","39,057","36,911","23,549",,,,,Astral Poly Technik Ltd.,PLASTICS
35,1736,1120.40,1120.40,1132.00,759,356,"10,436","4,366","19,248",1126.00,1118.65,1133.15,"2,961","8,454","9,635","11,262",,,,,AstraZeneca Pharma Ltd.,PHARMACEUTICALS
36,2966,2850.00,2892.80,2850.00,1100,"1,775","2,489","2,866","1,665",2950.00,2892.95,2845.05,"9,112","38,784","27,405","39,809",100%,,,,Atul Ltd.,DYES & PIGMENTS
37,63.15 K,637.00,643.35,641.40,58.62 K,"42,801","169,815","160,318","221,739",639.00,643.20,640.40,"718,101","1,977,732","1,898,250","2,468,837",82%,4%,82% buying,14%,Aurobindo Pharma Ltd.,PHARMACEUTICALS
38,4129,2435.00,2459.60,2500.00,2524,"8,839","9,291","9,703","10,099",2437.05,2454.90,2495.00,"32,479","54,354","62,151","49,096",72%,,,28%,Avanti Feeds Ltd.,AQUACULTURE
39,19.23 K,1150.00,1142.85,1181.80,16.08 K,"103,862","77,951","91,026","61,654",1149.00,1144.35,1181.75,"368,633","470,377","479,647","384,853",81%,4%,81% buying,15%,Avenue Supermarts Ltd.,RETAIL
40,89.63 K,591.00,590.25,597.10,1.07 L,"228,931","294,874","357,103","468,800",595.95,590.25,597.50,"4,691,555","5,138,355","5,060,330","6,351,004",30%,4%,66% selling,66%,Axis Bank Ltd.,BANKS - PRIVATE SECTOR
41,16.58 K,3207.00,3208.05,3263.50,16.51 K,"7,171","11,229","79,459","12,986",3200.00,3210.40,3264.70,"138,401","219,508","250,866","187,211",100%,,,,Bajaj Auto Ltd.,AUTO - 2 & 3 WHEELERS
42,11.06 K,493.40,490.45,486.00,7787,"5,091","82,260","39,638","6,708",490.00,499.70,487.50,"35,329","240,196","126,877","116,064",67%,,,33%,Bajaj Corp Ltd.,PERSONAL CARE
43,16.18 K,535.00,529.50,524.90,13.45 K,"9,846","38,109","123,977","37,406",533.80,530.75,523.55,"82,645","367,139","487,015","367,537",100%,,,,Bajaj Electricals Ltd.,DOMESTIC APPLIANCES
44,38.9 K,1739.00,1701.95,1710.80,38.34 K,"17,843","65,211","171,912","93,991",1714.00,1701.90,1711.40,"516,122","822,873","824,550","1,011,882",73%,4%,73% buying,23%,Bajaj Finance Ltd.,FINANCE - LEASING & HIRE PURCHASE
45,12.35 K,5018.10,4968.70,5012.00,9678,"3,433","12,466","52,298","9,651",5000.00,4973.05,5014.40,"51,517","173,002","127,364","151,900",80%,,,,Bajaj Finserv Ltd.,FINANCE - INVESTMENTS
46,3.23 L,14.85,14.85,14.65,3.23 L,"348,852","1,293,171","1,375,881","1,239,996",14.80,14.75,14.70,"943,531","4,991,721","5,613,762","4,965,169",44%,23%,44% buying,33%,Bajaj Hindusthan Ltd.,SUGAR
47,6323,2759.40,2787.05,2780.00,3981,154,"6,212","157,745","10,608",2811.00,2800.50,2777.35,"3,259","23,827","21,586","15,713",100%,,,100%,Bajaj Holdings & Investment Ltd.,FINANCE - INVESTMENTS
48,44.37 K,1148.00,1136.15,1134.45,44.33 K,"5,753","37,580","54,809","11,930",1135.00,1139.65,1133.10,"93,422","308,092","612,957","210,953",71%,15%,71% buying,14%,Balkrishna Industries Ltd.,TYRES
49,13.1 K,252.80,250.90,251.80,14.81 K,"11,380","39,853","33,951","33,726",251.95,251.45,251.00,"61,205","126,034","136,770","119,933",100%,,,,Balmer Lawrie and Company Ltd.,DIVERSIFIED
50,2.13 L,122.15,123.05,119.55,2.12 L,"366,411","187,978","223,288","234,403",122.70,122.70,119.50,"3,213,910","1,852,120","2,030,576","1,819,399",62%,16%,62% buying,22%,Balrampur Chini Mills Ltd.,SUGAR
51,3 L,165.60,165.60,165.20,3.62 L,"574,946","1,142,930","1,120,932","1,269,488",166.00,165.40,165.25,"5,513,603","10,885,411","10,036,068","13,106,462",64%,10%,64% buying,26%,Bank Of Baroda,BANKS - PUBLIC SECTOR
52,3.36 L,163.15,164.80,163.50,3.41 L,"130,696","309,083","288,446","403,643",163.40,164.95,163.55,"2,017,479","3,312,325","3,321,930","3,837,815",43%,14%,43% buying,43%,Bank Of India,BANKS - PUBLIC SECTOR
53,1.11 L,21.20,21.20,20.95,82.13 K,"65,335","149,177","206,054","164,948",21.10,21.00,20.95,"556,933","951,380","1,600,564","1,218,589",92%,,,8%,Bank of Maharashtra,BANKS - PUBLIC SECTOR
54,5520,2210.00,2216.90,2210.80,3676,"3,474","4,914","2,942","4,108",2214.95,2219.30,2209.30,"5,353","41,352","25,960","30,049",67%,,,33%,BASF India Ltd.,CHEMICALS
55,67.05 K,720.00,716.15,728.00,69.67 K,"13,519","37,606","37,991","27,362",717.00,716.25,728.90,"196,589","564,362","625,958","473,890",90%,,,10%,Bata India Ltd.,LEATHER PRODUCTS
56,3395,4580.00,4553.40,4519.00,1830,"30,469","11,936","7,672","22,918",4580.00,4575.35,4539.00,"1,387","11,804","11,413","16,944",100%,,,,Bayer CropScience Ltd.,PESTICIDES & AGRO CHEMICALS
57,17.74 K,1519.90,1511.15,1517.60,21.45 K,"10,515","24,449","36,661","27,341",1512.00,1513.60,1517.00,"151,752","343,141","511,499","354,168",83%,,,17%,BEML Ltd.,INFRASTRUCTURE - GENERAL
58,1.29 L,247.10,246.80,249.95,1.34 L,"39,928","120,726","228,759","61,314",247.00,246.65,250.15,"454,269","1,006,660","877,519","685,460",90%,,,10%,Berger Paints India Ltd.,PAINTS & VARNISHES
59,21.01 K,515.00,510.65,520.00,23.48 K,"105,387","345,080","254,186","277,934",514.40,512.00,519.60,"335,018","1,528,841","1,133,296","946,436",100%,,,,BF Utilities Ltd.,POWER - GENERATION & DISTRIBUTION
60,2.94 L,173.00,172.75,175.00,3.23 L,"158,651","837,860","443,908","1,357,574",173.40,172.75,174.85,"1,584,021","3,514,442","3,200,071","3,497,745",58%,13%,58% buying,29%,Bharat Electronics Ltd.,ELECTRICALS
61,52.17 K,1012.20,1008.80,1005.15,51.35 K,"9,537","44,467","118,241","32,520",1006.35,1006.35,1005.05,"298,584","621,864","615,987","561,191",100%,,,,Bharat Financial Inclusion Ltd.,FINANCE - GENERAL
62,70.48 K,735.85,735.00,736.00,76.52 K,"53,966","77,984","104,821","77,830",732.00,735.75,736.95,"434,850","841,948","873,285","698,925",67%,,,33%,Bharat Forge Ltd.,CASTINGS & FORGINGS
63,1.19 L,493.00,497.75,489.70,1.43 L,"111,452","4,385,369","2,123,228","8,121,429",495.60,497.90,489.15,"3,009,411","6,417,715","6,588,660","6,121,078",67%,16%,67% buying,17%,Bharti Airtel Ltd.,TELECOMMUNICATIONS - SERVICE
64,98.5 K,347.00,346.40,343.55,1.05 L,"565,184","82,910","184,240","112,116",344.50,346.05,343.75,"5,927,330","3,056,829","2,771,670","3,548,647",82%,,,18%,Bharti Infratel Ltd.,TELECOMMUNICATIONS - EQUIPMENT
65,4.92 L,98.00,97.50,99.05,4.93 L,"390,645","1,129,407","1,202,817","979,107",98.10,97.55,99.05,"3,196,643","8,537,337","9,877,544","8,214,377",83%,,,17%,Bharat Heavy Electricals Ltd.,INFRASTRUCTURE - GENERAL
66,1.05 L,565.00,569.85,576.65,1.08 L,"178,240","206,350","228,104","263,102",568.90,569.35,577.55,"3,702,804","1,807,109","1,797,304","2,544,401",44%,1%,55% selling,55%,Biocon Ltd.,PHARMACEUTICALS
67,6457,1159.70,1155.50,1158.90,3757,"3,696","1,785","3,856","1,700",1158.00,1158.00,1155.05,"24,202","39,355","45,196","41,731",100%,,,,Birla Corporation Ltd.,CEMENT - MAJOR
68,3.94 L,198.00,203.15,200.20,51.02 K,"327,787","283,976","213,430","338,779",198.15,202.85,201.00,"344,329","692,879","559,495","767,517",71%,8%,71% buying,21%,Bliss GVS Pharma Ltd.,PHARMACEUTICALS
69,982,4650.00,4632.40,4710.00,355,109,656,"1,043",820,4645.50,4645.50,4707.10,"1,435","12,550","12,355","11,019",100%,,,,Blue Dart Express Ltd.,COURIERS
70,8472,781.85,773.45,771.00,7453,878,"2,843","45,854","3,462",790.00,773.85,772.60,"6,149","40,311","66,560","42,095",100%,,,,Blue Star Ltd.,CONSUMER GOODS - WHITE GOODS
71,5682,1605.75,1600.35,1594.20,5101,"21,711","55,499","52,966","40,957",1600.00,1601.25,1591.00,"89,955","289,792","261,794","179,402",67%,,,,Bombay Burmah Trading Corporation Ltd.,PLANTATIONS - TEA & COFFEE
72,47.6 K,257.90,254.15,259.75,95.14 K,"495,078","947,229","1,171,975","896,862",257.70,254.50,259.35,"2,568,332","4,785,218","6,059,399","4,369,006",79%,6%,79% buying,15%,Bombay Dyeing and Manufacturing Company Ltd.,TEXTILES - PROCESSING
73,575,19999.00,19905.10,19973.65,625,351,"3,240","2,011",639,19920.20,19976.15,19985.00,"2,717","13,996","16,400","11,394",83%,,,17%,Bosch Ltd.,AUTO ANCILLARIES
74,1.2 L,476.50,476.85,467.25,1.21 L,"49,771","229,026","170,571","175,795",480.00,477.30,467.45,"1,485,728","3,725,038","3,202,231","3,943,454",61%,6%,61% buying,33%,Bharat Petroleum Corporation Ltd.,REFINERIES
75,7413,4650.00,4683.10,4717.15,6531,"26,935","34,174","25,900","24,486",4675.00,4684.45,4718.00,"36,713","124,849","129,927","120,638",100%,,,,Britannia Industries Ltd.,FOOD PROCESSING
76,81.72 K,442.00,441.50,437.10,90.25 K,"17,764","77,524","116,522","76,515",441.25,441.55,437.00,"347,464","718,179","902,846","613,441",88%,,,12%,Cadila Healthcare Ltd.,PHARMACEUTICALS
77,75.62 K,476.55,474.35,483.70,72.3 K,"45,767","93,289","90,891","61,584",477.45,474.55,483.80,"563,795","850,815","846,910","615,784",87%,2%,87% buying,11%,Can Fin Homes Ltd.,FINANCE - HOUSING
78,1.07 L,356.70,361.75,358.45,1.21 L,"94,332","169,502","142,058","221,090",360.00,362.70,358.85,"1,115,357","2,145,961","2,050,600","2,775,764",62%,,,38%,Canara Bank,BANKS - PUBLIC SECTOR
79,55.6 K,764.90,765.20,776.80,49.48 K,"69,872","275,856","117,574","378,048",762.00,764.45,777.40,"867,766","3,659,792","1,527,445","5,301,162",95%,,,5%,Capital First Ltd.,FINANCE - GENERAL
80,7407,627.95,622.65,625.00,6164,"2,229","5,871","5,279","5,707",621.00,621.05,623.50,"19,280","48,008","37,231","47,994",100%,,,,Caplin Point Laboratories Ltd.,PHARMACEUTICALS
81,12.1 K,390.00,390.15,387.90,6011,"11,286","46,860","28,928","46,537",387.00,390.65,389.10,"16,356","107,162","127,696","73,893",100%,,,,Carborundum Universal Ltd.,ABRASIVES
82,7119,1386.00,1393.65,1381.90,4084,374,"4,547","6,659","3,106",1395.00,1390.95,1386.05,"18,921","98,902","74,461","62,111",100%,,,,Credit Analysis and Research Ltd.,MISCELLANEOUS
83,1.87 L,188.80,187.30,189.40,1.94 L,"74,261","363,421","400,152","192,225",187.70,187.75,189.45,"660,593","1,263,292","2,838,499","1,189,407",63%,16%,63% buying,21%,Castrol India Ltd.,LUBRICANTS
84,11.7 K,298.05,294.15,297.00,7732,"2,378","14,116","7,577","10,115",294.25,293.60,297.50,"46,447","246,754","125,092","148,188",85%,,,15%,CCL Products India Ltd.,PLANTATIONS - TEA & COFFEE
85,21.9 K,1894.00,1868.60,1835.35,22.79 K,"11,446","30,672","34,131","29,585",1866.95,1866.85,1835.50,"170,760","426,738","549,352","326,790",50%,,,50%,Ceat Ltd.,TYRES
86,56.26 K,75.90,73.75,73.60,49.1 K,"19,943","82,431","394,292","77,935",73.50,73.80,73.45,"92,830","507,882","890,823","370,328",50%,,,50%,Central Bank of India,BANKS - PUBLIC SECTOR
87,34.65 K,1409.00,1409.95,1412.00,34.33 K,"10,732","69,363","86,526","41,575",1406.20,1409.40,1412.55,"252,800","486,466","622,131","535,207",100%,,,,Century Textiles and Industries Ltd.,DIVERSIFIED
88,12.48 K,350.85,346.70,341.95,9064,"5,158","23,946","44,143","14,547",350.90,346.60,340.55,"116,924","252,635","306,061","185,959",80%,,,20%,Century Plyboards Ltd.,MISCELLANEOUS
89,3303,3775.00,3638.00,3628.00,2266,"1,722","2,609","3,030","2,393",3627.45,3627.45,3639.95,"1,930","10,819","8,639","8,936",,,,,Cera Sanitaryware Ltd.,CERAMICS & GRANITE
90,36.89 K,1110.00,1109.20,1104.00,36.77 K,"17,472","42,935","36,086","37,639",1108.00,1109.05,1102.20,"224,003","677,279","534,368","524,650",100%,,,,CESC Ltd.,POWER - GENERATION & DISTRIBUTION
91,9941,265.00,262.55,258.50,17.32 K,"14,137","22,339","109,290","21,095",263.10,262.55,258.45,"159,014","623,743","519,695","339,466",67%,,,33%,Crompton Greaves Consumer Electrical Ltd.,ELECTRICALS
92,6.06 L,94.00,95.50,95.80,6.47 L,"84,356","498,487","506,855","315,817",94.80,95.40,96.20,"922,948","5,036,656","3,832,209","3,527,059",100%,,,,CG Power and Industrial Solutions Ltd.,ELECTRIC EQUIPMENT
93,34.24 K,155.00,154.60,156.75,31.04 K,"36,744","213,293","129,580","89,909",155.00,154.40,156.20,"192,743","666,381","692,042","593,784",79%,,,21%,Chambal Fertilisers and Chemicals Ltd.,FERTILISERS
94,92.71 K,456.70,445.45,431.30,1.08 L,"119,417","64,789","49,091","64,811",460.00,446.50,431.30,"1,068,152","697,859","539,268","608,729",90%,,,10%,Chennai Petroleum Corporation Ltd.,REFINERIES
95,28.83 K,1346.00,1320.05,1304.50,29.16 K,"1,626","32,313","22,047","9,575",1327.85,1322.70,1305.80,"155,028","232,691","224,324","232,810",100%,,,,Cholamandalam Investment and Finance Company Ltd.,FINANCE - LEASING & HIRE PURCHASE
96,58.76 K,604.30,602.05,594.50,63.13 K,"36,486","47,962","76,992","43,044",604.40,602.75,595.60,"593,318","938,932","1,176,506","857,985",100%,,,,Cipla Ltd.,PHARMACEUTICALS
97,19.61 K,175.00,175.45,173.60,17.99 K,"6,131","155,698","67,227","27,311",175.45,175.90,173.95,"88,670","381,624","420,844","401,152",100%,,,,City Union Bank Ltd.,BANKS - PRIVATE SECTOR
98,1.43 L,285.15,284.45,284.95,1.67 L,"209,309","448,553","344,145","248,475",287.10,284.00,285.05,"1,978,783","7,508,705","5,362,126","3,486,556",83%,6%,83% buying,11%,Coal India Ltd.,MINING & MINERALS
99,14.31 K,345.00,348.95,363.45,20.24 K,"82,427","140,952","58,601","54,123",341.00,349.40,364.00,"986,554","1,539,996","666,430","749,606",70%,,,30%,Coffee Day Enterprises Ltd.,FOOD PROCESSING
100,40.92 K,1148.70,1149.40,1160.00,40.75 K,"12,410","19,837","22,528","20,867",1150.00,1150.95,1160.00,"68,282","239,993","238,925","234,011",71%,15%,71% buying,14%,Colgate Palmolive (India) Ltd.,PERSONAL CARE
101,38.12 K,1472.00,1472.35,1485.35,41.19 K,"31,381","44,517","22,011","49,526",1476.70,1473.65,1488.50,"438,832","509,840","301,843","422,278",100%,,,,Container Corporation of India Ltd.,TRANSPORT & LOGISTICS
102,16.67 K,575.00,572.80,573.30,10.33 K,"3,560","16,984","65,737","21,378",570.85,574.35,575.80,"54,849","198,952","231,514","167,496",50%,25%,50% buying,25%,Coromandel International Ltd.,FERTILISERS
103,53.11 K,39.45,39.30,39.00,23.75 K,"12,761","34,493","38,125","41,261",39.70,39.35,39.00,"169,870","264,141","321,323","277,902",25%,25%,50% selling,50%,Corporation Bank,BANKS - PUBLIC SECTOR
104,14.53 K,260.60,262.25,260.85,8409,"1,274","100,526","121,738","7,018",263.90,262.25,260.70,"178,560","280,316","352,102","161,192",100%,,,,Cox & Kings Ltd.,MISCELLANEOUS
105,7966,2020.00,1988.80,1996.00,5063,906,"1,924","1,557","2,955",2000.00,1965.20,1992.10,"11,527","13,807","18,141","15,339",100%,,,,CRISIL Ltd.,MISCELLANEOUS
106,40.49 K,911.80,901.85,915.10,35.83 K,"56,240","50,783","37,593","29,471",903.30,903.30,915.75,"206,288","332,999","375,294","333,046",100%,,,,Cummins India Ltd.,ENGINES
107,10.32 K,660.00,653.10,637.45,10.79 K,"72,318","41,488","22,010","54,045",658.10,653.55,637.20,"1,215,113","359,658","199,113","521,925",67%,,,33%,Cyient Ltd.,COMPUTERS - SOFTWARE
108,1.37 L,364.00,363.70,362.35,1.53 L,"22,485","162,317","88,199","62,063",365.15,363.80,362.20,"608,761","984,193","996,836","1,131,654",71%,,,29%,Dabur India Ltd.,PERSONAL CARE
109,17.57 K,3021.40,3027.45,2984.00,16.22 K,"18,343","13,563","10,017","4,730",3025.00,3028.40,2985.25,"32,487","75,032","81,008","61,119",100%,,,,Dalmia Bharat Ltd.,CEMENT - MAJOR
110,11.49 K,351.90,353.10,349.00,7695,"2,897","13,579","8,283","13,646",352.75,352.75,349.60,"26,687","186,408","138,739","248,574",100%,,,,DB Corp Ltd.,MEDIA & ENTERTAINMENT
111,2.92 L,189.90,189.40,188.60,2.34 L,"39,299","161,676","225,371","169,609",189.65,189.65,188.55,"588,773","1,890,896","1,531,927","2,039,913",100%,,,,DCB Bank Ltd.,BANKS - PRIVATE SECTOR
112,13.6 K,597.00,568.30,597.40,10.15 K,"152,216","13,752","20,603","16,950",579.00,569.10,598.00,"1,074,617","141,683","171,781","190,248",93%,,,7%,DCM Shriram Ltd.,DIVERSIFIED
113,13.39 K,388.60,389.80,400.45,4797,"111,569","33,091","40,353","41,219",391.80,389.85,398.50,"178,947","152,573","269,808","177,349",100%,,,,Deepak Fertilizers and Petrochemicals Coprn Ltd.,FERTILISERS
114,82.61 K,337.00,336.80,347.85,71.05 K,"760,596","856,150","682,342","1,226,282",337.00,337.30,347.95,"4,388,482","4,272,604","3,677,637","5,988,343",80%,,,20%,Delta Corp Ltd.,CONSTRUCTION & CONTRACTING - REAL ESTATE
115,44.6 K,117.10,121.85,119.50,36.33 K,"73,752","390,304","205,233","512,268",121.50,121.50,119.70,"505,583","3,114,452","1,605,673","3,833,676",67%,16%,67% buying,17%,Den Networks Ltd.,MEDIA & ENTERTAINMENT
116,1.79 L,26.20,26.10,26.00,2.95 L,"185,963","454,755","484,021","482,663",26.20,26.10,26.00,"1,045,694","2,627,696","2,683,450","2,909,007",70%,6%,70% buying,24%,Dena Bank,BANKS - PUBLIC SECTOR
117,1.08 L,615.00,612.20,627.35,1.16 L,"199,589","227,771","191,007","198,816",615.00,612.50,627.80,"2,663,502","2,003,295","2,018,922","1,771,116",81%,6%,81% buying,13%,Dewan Housing Finance Corporation Ltd.,FINANCE - HOUSING
118,9163,797.55,786.20,790.00,5063,796,"1,848","2,112","1,742",789.95,782.10,785.90,"6,194","21,396","21,293","19,957",50%,,,50%,Dhanuka Agritech Ltd.,PESTICIDES & AGRO CHEMICALS
119,12.72 K,946.05,943.95,935.70,11.77 K,"24,981","98,210","60,427","37,024",946.80,946.20,932.90,"205,060","344,902","343,523","344,227",86%,,,14%,Dilip Buildcon Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
120,4.2 L,72.70,72.70,71.65,4.38 L,"487,237","1,033,824","804,295","1,234,843",73.05,72.65,71.60,"5,909,197","9,675,523","7,360,982","9,305,358",83%,,,17%,Dish TV India Ltd.,MEDIA & ENTERTAINMENT
121,41.41 K,1105.00,1095.50,1074.90,46.92 K,"148,401","42,061","40,847","41,041",1095.95,1098.30,1074.00,"435,277","548,081","604,382","565,802",82%,,,18%,Divis Laboratories Ltd.,PHARMACEUTICALS
122,2.83 L,250.00,249.30,248.05,2.85 L,"309,898","662,325","707,405","527,682",250.50,249.30,248.05,"3,217,951","7,094,743","8,086,551","6,105,246",75%,,,25%,DLF Ltd.,CONSTRUCTION & CONTRACTING - REAL ESTATE
